Date,Change.C,C_1,O_1,H_1,L_1,V_1,C_2,O_2,H_2,L_2,V_2,C_3,O_3,H_3,L_3,V_3,C_4,O_4,H_4,L_4,V_4,C_5,O_5,H_5,L_5,V_5
15/11/2021,-1.35,-0.41,-0.46,-0.26,-1.54,17.46,-0.49,-1.16,-2.12,1.63,-54.26,-1.13,1.87,0.61,-1.46,51.59,1.87,-2.07,-1.77,1.78,-45.06,-2.07,-1.59,0.57,-4.59,74.18
14/11/2021,-0.41,-0.49,-1.16,-2.12,1.63,-54.26,-1.13,1.87,0.61,-1.46,51.59,1.87,-2.07,-1.77,1.78,-45.06,-2.07,-1.59,0.57,-4.59,74.18,-1.59,4.26,0.28,2.24,-35.03
13/11/2021,-0.49,-1.13,1.87,0.61,-1.46,51.59,1.87,-2.07,-1.77,1.78,-45.06,-2.07,-1.59,0.57,-4.59,74.18,-1.59,4.26,0.28,2.24,-35.03,4.26,2.1,4.07,2.43,99.29
12/11/2021,-1.13,1.87,-2.07,-1.77,1.78,-45.06,-2.07,-1.59,0.57,-4.59,74.18,-1.59,4.26,0.28,2.24,-35.03,4.26,2.1,4.07,2.43,99.29,2.1,0.94,2.38,3.98,-23.68
11/11/2021,1.87,-2.07,-1.59,0.57,-4.59,74.18,-1.59,4.26,0.28,2.24,-35.03,4.26,2.1,4.07,2.43,99.29,2.1,0.94,2.38,3.98,-23.68,0.95,-1.32,-0.93,-2.46,8.02
10/11/2021,-2.07,-1.59,4.26,0.28,2.24,-35.03,4.26,2.1,4.07,2.43,99.29,2.1,0.94,2.38,3.98,-23.68,0.95,-1.32,-0.93,-2.46,8.02,-1.33,-1.46,-0.77,0.4,-17.37
9/11/2021,-1.59,4.26,2.1,4.07,2.43,99.29,2.1,0.94,2.38,3.98,-23.68,0.95,-1.32,-0.93,-2.46,8.02,-1.33,-1.46,-0.77,0.4,-17.37,-1.46,0.33,-1.22,-0.83,-21.87
8/11/2021,4.26,2.1,0.94,2.38,3.98,-23.68,0.95,-1.32,-0.93,-2.46,8.02,-1.33,-1.46,-0.77,0.4,-17.37,-1.46,0.33,-1.22,-0.83,-21.87,0.35,6.16,1.38,4,0.7
7/11/2021,2.1,0.95,-1.32,-0.93,-2.46,8.02,-1.33,-1.46,-0.77,0.4,-17.37,-1.46,0.33,-1.22,-0.83,-21.87,0.35,6.16,1.38,4,0.7,6.14,0.78,5.06,3.12,9.75
6/11/2021,0.95,-1.33,-1.46,-0.77,0.4,-17.37,-1.46,0.33,-1.22,-0.83,-21.87,0.35,6.16,1.38,4,0.7,6.14,0.78,5.06,3.12,9.75,0.78,-0.8,-0.38,-0.29,3.41
5/11/2021,-1.33,-1.46,0.33,-1.22,-0.83,-21.87,0.35,6.16,1.38,4,0.7,6.14,0.78,5.06,3.12,9.75,0.78,-0.8,-0.38,-0.29,3.41,-0.77,-2.08,-0.79,-1.9,12.22
4/11/2021,-1.46,0.35,6.16,1.38,4,0.7,6.14,0.78,5.06,3.12,9.75,0.78,-0.8,-0.38,-0.29,3.41,-0.77,-2.08,-0.79,-1.9,12.22,-2.11,3.01,-0.67,-0.42,-36.68
3/11/2021,0.35,6.14,0.78,5.06,3.12,9.75,0.78,-0.8,-0.38,-0.29,3.41,-0.77,-2.08,-0.79,-1.9,12.22,-2.11,3.01,-0.67,-0.42,-36.68,3.01,9.27,3.93,9.54,-9.73
2/11/2021,6.14,0.78,-0.8,-0.38,-0.29,3.41,-0.77,-2.08,-0.79,-1.9,12.22,-2.11,3.01,-0.67,-0.42,-36.68,3.01,9.27,3.93,9.54,-9.73,9.25,-5.05,-0.23,-0.45,-19.08
1/11/2021,0.78,-0.77,-2.08,-0.79,-1.9,12.22,-2.11,3.01,-0.67,-0.42,-36.68,3.01,9.27,3.93,9.54,-9.73,9.25,-5.05,-0.23,-0.45,-19.08,-5.03,-2.13,0.18,-4.49,91.31
31/10/2021,-0.77,-2.11,3.01,-0.67,-0.42,-36.68,3.01,9.27,3.93,9.54,-9.73,9.25,-5.05,-0.23,-0.45,-19.08,-5.03,-2.13,0.18,-4.49,91.31,-2.14,3.36,1.35,0.69,16.18
30/10/2021,-2.11,3.01,9.27,3.93,9.54,-9.73,9.25,-5.05,-0.23,-0.45,-19.08,-5.03,-2.13,0.18,-4.49,91.31,-2.14,3.36,1.35,0.69,16.18,3.36,-2.07,1.21,2.62,-5.17
29/10/2021,3.01,9.25,-5.05,-0.23,-0.45,-19.08,-5.03,-2.13,0.18,-4.49,91.31,-2.14,3.36,1.35,0.69,16.18,3.36,-2.07,1.21,2.62,-5.17,-2.06,4.98,0.35,0.69,4.23
28/10/2021,9.25,-5.03,-2.13,0.18,-4.49,91.31,-2.14,3.36,1.35,0.69,16.18,3.36,-2.07,1.21,2.62,-5.17,-2.06,4.98,0.35,0.69,4.23,4.98,-2.05,0.13,1.09,-25.62
27/10/2021,-5.03,-2.14,3.36,1.35,0.69,16.18,3.36,-2.07,1.21,2.62,-5.17,-2.06,4.98,0.35,0.69,4.23,4.98,-2.05,0.13,1.09,-25.62,-2.05,-2.56,-4.64,-3.3,-42.56
26/10/2021,-2.14,3.36,-2.07,1.21,2.62,-5.17,-2.06,4.98,0.35,0.69,4.23,4.98,-2.05,0.13,1.09,-25.62,-2.05,-2.56,-4.64,-3.3,-42.56,-2.54,7.32,4.77,5.2,51.59
25/10/2021,3.36,-2.06,4.98,0.35,0.69,4.23,4.98,-2.05,0.13,1.09,-25.62,-2.05,-2.56,-4.64,-3.3,-42.56,-2.54,7.32,4.77,5.2,51.59,7.3,3.51,7.31,2.58,53.92
24/10/2021,-2.06,4.98,-2.05,0.13,1.09,-25.62,-2.05,-2.56,-4.64,-3.3,-42.56,-2.54,7.32,4.77,5.2,51.59,7.3,3.51,7.31,2.58,53.92,3.45,-2.68,-0.2,1.3,-15.5
23/10/2021,4.98,-2.05,-2.56,-4.64,-3.3,-42.56,-2.54,7.32,4.77,5.2,51.59,7.3,3.51,7.31,2.58,53.92,3.45,-2.68,-0.2,1.3,-15.5,-2.55,0.55,-0.65,0.58,6.38
22/10/2021,-2.05,-2.54,7.32,4.77,5.2,51.59,7.3,3.51,7.31,2.58,53.92,3.45,-2.68,-0.2,1.3,-15.5,-2.55,0.55,-0.65,0.58,6.38,0.47,-1.07,-1.26,-3.68,3.02
21/10/2021,-2.54,7.3,3.51,7.31,2.58,53.92,3.45,-2.68,-0.2,1.3,-15.5,-2.55,0.55,-0.65,0.58,6.38,0.47,-1.07,-1.26,-3.68,3.02,-1.02,2.08,1.6,1.86,-26.84
20/10/2021,7.3,3.45,-2.68,-0.2,1.3,-15.5,-2.55,0.55,-0.65,0.58,6.38,0.47,-1.07,-1.26,-3.68,3.02,-1.02,2.08,1.6,1.86,-26.84,2.02,5.07,2.21,4.1,3.45
19/10/2021,3.45,-2.55,0.55,-0.65,0.58,6.38,0.47,-1.07,-1.26,-3.68,3.02,-1.02,2.08,1.6,1.86,-26.84,2.02,5.07,2.21,4.1,3.45,5.08,3.33,5.77,5.04,25.11
18/10/2021,-2.55,0.47,-1.07,-1.26,-3.68,3.02,-1.02,2.08,1.6,1.86,-26.84,2.02,5.07,2.21,4.1,3.45,5.08,3.33,5.77,5.04,25.11,3.36,-1.42,1.88,0.34,-8.64
