Date,Change,Close_1,Open_1,High_1,Low_1,Vol_1,Change_1
11/15/2021,-1.35,4625.59,4644.40,4692.76,4514.95,340960.00,-0.41
11/14/2021,-0.41,4644.61,4665.76,4705.02,4585.37,290270.00,-0.49
11/13/2021,-0.49,4667.31,4720.50,4807.16,4511.96,634590.00,-1.13
11/12/2021,-1.13,4720.87,4633.98,4778.17,4578.66,418610.00,1.87
11/11/2021,1.87,4634.03,4731.83,4864.06,4498.78,761900.00,-2.07
11/10/2021,-2.07,4731.83,4808.34,4836.69,4715.43,437410.00,-1.59
11/9/2021,-1.59,4808.38,4612.05,4822.97,4612.05,673210.00,4.26
11/8/2021,4.26,4612.06,4517.27,4634.39,4502.70,337810.00,2.10
11/7/2021,2.10,4517.36,4475.00,4526.75,4330.29,442600.00,0.95
11/6/2021,0.95,4475.00,4534.96,4569.31,4439.67,409750.00,-1.33
11/5/2021,-1.33,4535.11,4601.93,4604.83,4421.87,495860.00,-1.46
11/4/2021,-1.46,4602.21,4586.96,4661.88,4458.87,634680.00,0.35
11/3/2021,0.35,4586.06,4320.85,4598.38,4287.36,630260.00,6.14
11/2/2021,6.14,4320.85,4287.41,4376.94,4157.51,574260.00,0.78
11/1/2021,0.78,4287.56,4322.00,4393.61,4169.48,555320.00,-0.77
10/31/2021,-0.77,4320.65,4413.70,4428.41,4250.24,494870.00,-2.11
10/30/2021,-2.11,4413.70,4284.90,4458.30,4268.21,781570.00,3.01
10/29/2021,3.01,4284.90,3921.54,4289.80,3896.33,865800.00,9.25
10/28/2021,9.25,3921.93,4130.06,4299.61,3914.06,1070000.00,-5.03
10/27/2021,-5.03,4129.51,4219.92,4291.98,4098.19,559290.00,-2.14
10/26/2021,-2.14,4219.92,4082.68,4234.76,4069.94,481410.00,3.36
10/25/2021,3.36,4082.80,4168.80,4184.00,3965.84,507630.00,-2.06
10/24/2021,-2.06,4168.85,3970.94,4169.33,3938.79,487030.00,4.98
10/23/2021,4.98,3970.94,4053.89,4164.11,3896.40,654770.00,-2.05
10/22/2021,-2.05,4054.16,4160.51,4366.91,4029.48,1140000.00,-2.54
10/21/2021,-2.54,4159.89,3876.76,4168.12,3830.26,752030.00,7.30
10/20/2021,7.30,3876.78,3745.46,3884.34,3733.78,488600.00,3.45
10/19/2021,3.45,3747.60,3848.64,3892.01,3685.82,578210.00,-2.55
10/18/2021,-2.55,3845.47,3827.55,3917.56,3664.63,543520.00,0.47
10/17/2021,0.47,3827.55,3869.05,3967.43,3804.55,527610.00,-1.02
10/16/2021,-1.02,3866.90,3790.34,3904.91,3735.21,721140.00,2.02
10/15/2021,2.02,3790.41,3607.36,3820.47,3588.24,697090.00,5.08
10/14/2021,5.08,3607.28,3491.08,3612.04,3416.00,557180.00,3.36
10/13/2021,3.36,3489.90,3541.49,3545.35,3404.49,609890.00,-1.56
10/12/2021,-1.56,3545.06,3414.93,3622.53,3381.43,683240.00,3.81
10/11/2021,3.81,3415.03,3574.52,3599.18,3409.22,767490.00,-4.45
10/10/2021,-4.45,3574.20,3559.96,3626.11,3541.40,464110.00,0.42
10/9/2021,0.42,3559.42,3586.91,3668.35,3537.24,681740.00,-0.74
10/8/2021,-0.74,3586.00,3575.43,3650.18,3473.47,826290.00,0.30
