Date,close,open,high,low,vol
11/25/2021,5.7741,-1.6013,4.0457,1.8386,-2.9046
11/24/2021,-1.5366,6.2030,-0.2719,2.6579,-12.9159
11/23/2021,6.1973,-4.2488,1.6999,0.9293,-4.5643
11/22/2021,-4.2438,-3.1969,-2.5130,-5.1682,60.6974
11/21/2021,-3.1929,2.6483,-0.2632,0.9378,-3.6199
11/20/2021,2.6405,7.4814,2.9930,5.7483,-19.0520
11/19/2021,7.3356,-6.8531,-0.8596,0.4962,-27.8175
11/18/2021,-6.7354,1.9490,1.0339,-2.7652,19.1656
11/17/2021,1.9657,-7.7730,-5.8004,-1.0765,-40.6304
11/16/2021,-7.7761,-1.3563,-4.3278,-9.4236,125.8247
11/15/2021,-1.3536,-0.4024,1.6327,0.6317,45.4599
11/14/2021,-0.4095,-0.4578,-0.2606,-1.5358,17.4631
11/13/2021,-0.4864,-1.1596,-2.1247,1.6270,-54.2587
11/12/2021,-1.1345,1.8671,0.6067,-1.4568,51.5946
11/11/2021,1.8740,-2.0679,-1.7658,1.7756,-45.0571
11/10/2021,-2.0669,-1.5912,0.5659,-4.5945,74.1844
11/9/2021,-1.5920,4.2560,0.2845,2.2415,-35.0262
11/8/2021,4.2567,2.0982,4.0691,2.4285,99.2866
11/7/2021,2.0964,0.9446,2.3779,3.9815,-23.6760
11/6/2021,0.9466,-1.3222,-0.9314,-2.4637,8.0171
11/5/2021,-1.3254,-1.4553,-0.7714,0.4025,-17.3658
11/4/2021,-1.4580,0.3264,-1.2238,-0.8298,-21.8724
11/3/2021,0.3522,6.1587,1.3809,4.0004,0.7013
11/2/2021,6.1379,0.7800,5.0592,3.1233,9.7517
11/1/2021,0.7764,-0.8003,-0.3794,-0.2871,3.4106
10/31/2021,-0.7659,-2.0776,-0.7858,-1.9001,12.2153
10/30/2021,-2.1082,3.0059,-0.6704,-0.4210,-36.6826
10/29/2021,3.0059,9.2657,3.9279,9.5444,-9.7286
10/28/2021,9.2549,-5.0488,-0.2282,-0.4530,-19.0841
10/27/2021,-5.0267,-2.1294,0.1778,-4.4930,91.3140
10/26/2021,-2.1425,3.3615,1.3512,0.6941,16.1775
